Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2022-10-07 17:08:30,2022-10-07 17:08:30,Exchanged to EUR,142.65,0.00,EUR,COMPLETED,146.39
CARD_PAYMENT,Current,2022-10-07 17:09:07,2022-10-08 04:33:24,Microsoft*store,-59.99,0.00,EUR,COMPLETED,86.40
CARD_PAYMENT,Current,2022-10-16 07:06:18,2022-10-17 17:15:02,gamesplanet.com,-53.99,0.00,EUR,COMPLETED,32.41
CARD_PAYMENT,Current,2022-10-21 04:33:33,2022-10-21 18:35:27,netflix.com,-13.49,0.00,EUR,COMPLETED,18.92
CARD_PAYMENT,Current,2022-10-21 00:31:36,2022-10-22 03:41:24,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,8.93
EXCHANGE,Current,2022-10-28 16:28:53,2022-10-28 16:28:53,Exchanged to EUR,100.89,0.00,EUR,COMPLETED,109.82
CARD_PAYMENT,Current,2022-10-28 16:30:52,2022-10-29 18:25:21,gamesplanet.com,-15.50,0.00,EUR,COMPLETED,94.32
CARD_PAYMENT,Current,2022-11-15 06:55:33,2022-11-16 17:12:43,Sncf Internet,-24.50,0.00,EUR,COMPLETED,69.82
EXCHANGE,Current,2022-11-17 14:46:40,2022-11-17 14:46:40,Exchanged to EUR,278.04,0.00,EUR,COMPLETED,347.86
EXCHANGE,Current,2022-11-17 14:47:09,2022-11-17 14:47:09,Exchanged to EUR,44.09,0.00,EUR,COMPLETED,391.95
EXCHANGE,Current,2022-11-18 17:50:53,2022-11-18 17:50:53,Exchanged to EUR,202.81,0.00,EUR,COMPLETED,594.76
CARD_PAYMENT,Current,2022-11-17 21:09:49,2022-11-19 15:00:49,Sncf Internet,-191.80,0.00,EUR,COMPLETED,402.96
TRANSFER,Current,2022-11-19 19:52:51,2022-11-19 19:52:53,To Corentin Bourdeix,-150.00,0.00,EUR,COMPLETED,252.96
CARD_PAYMENT,Current,2022-11-21 04:45:27,2022-11-21 12:04:33,netflix.com,-13.49,0.00,EUR,COMPLETED,239.47
CARD_PAYMENT,Current,2022-11-21 05:34:54,2022-11-21 13:15:58,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,229.48
EXCHANGE,Current,2022-11-21 19:41:28,2022-11-21 19:41:28,Exchanged to EUR,203.41,0.00,EUR,COMPLETED,432.89
CARD_PAYMENT,Current,2022-11-30 18:12:35,2022-12-01 12:46:31,Sncf Internet,-22.10,0.00,EUR,COMPLETED,410.79
CARD_PAYMENT,Current,2022-11-30 12:47:08,2022-12-01 12:47:02,Sncf Internet,-22.10,0.00,EUR,COMPLETED,388.69
EXCHANGE,Current,2022-12-02 13:12:50,2022-12-02 13:12:50,Exchanged to EUR,101.60,0.00,EUR,COMPLETED,490.29
CARD_PAYMENT,Current,2022-12-03 03:15:32,2022-12-04 08:33:40,Keolis Lyon,-1.90,0.00,EUR,COMPLETED,488.39
CARD_PAYMENT,Current,2022-12-04 15:08:26,2022-12-05 09:17:49,Cgf17250paulc1,-6.20,0.00,EUR,COMPLETED,482.19
CARD_PAYMENT,Current,2022-12-02 18:39:34,2022-12-05 09:25:46,Tcl,-3.30,0.00,EUR,COMPLETED,478.89
CARD_PAYMENT,Current,2022-12-04 08:51:36,2022-12-05 14:35:26,Max Poilane,-21.90,0.00,EUR,COMPLETED,456.99
CARD_PAYMENT,Current,2022-12-05 03:08:59,2022-12-06 08:41:30,Keolis Lyon,-1.90,0.00,EUR,COMPLETED,455.09
TRANSFER,Current,2022-12-06 14:08:10,2022-12-06 14:08:10,To THI BICH HUYEN LE,-22.00,0.00,EUR,COMPLETED,433.09
EXCHANGE,Current,2022-12-08 17:47:35,2022-12-08 17:47:35,Exchanged to EUR,525.92,0.00,EUR,COMPLETED,959.01
CARD_PAYMENT,Current,2022-12-08 20:23:29,2022-12-09 10:12:46,Service Navigo,-3.80,0.00,EUR,COMPLETED,955.21
